sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
0.2,12,45526.45,0.8,7450.7,,METALYST FORGINGS LTD.,3.6,,4.6,8392,20150930,958.8,0.7,-538.8,945.0,,23448.4,,48913.5,,1.8
,12,20.8,-32.8,,,AHURA WELDING ELECTRODE MFRS. LTD.,,,3.6,8468,20150331,-37.7,,0.1,,,,,5.7,,
3.6,12,590.35,0.1,7.4,,AIMCO PESTICIDES LTD.,0.6,,,8523,20150331,9.0,0.1,30.9,8.1,7.6,1662.4,,533.3,,0.1
,12,263.35,8.1,15.3,0.1,AIRAN LTD.,16.6,,,8628,20150331,53.2,1.3,7.8,,,194.6,,298.0,,4.0
97.5,12,9837.65,68.5,2629.2,,AJANTA PHARMA LTD.,18.5,,,8893,20150331,613.5,109.4,3083.3,152.1,700.7,13678.5,24.7,10875.3,,2.7
0.2,12,938.85,,-147.0,,AJANTA SOYA LTD.,,1.1,,8909,20150331,11.4,0.1,25.5,10.2,,5550.5,,925.7,,
0.7,12,243.8,,-9.0,,AJCON GLOBAL SERVICES LTD.,0.7,,,9167,20150331,-0.3,,3.7,,,36.9,,260.3,,-1.0
1.5,12,102.15,,7.7,,AJWA FUN WORLD & RESORT LTD.,,,,9335,20150331,,,0.8,,,40.3,,95.3,,
3.2,12,8971.25,,1106.1,,OPTIEMUS INFRACOM LTD.,1.4,,,9395,20150331,24.8,0.6,296.0,9.1,,25209.8,,9200.0,,13.7
,12,1128.4,2.4,60.4,,AKAR TOOLS LTD.,,,8.8,9431,20150331,9.1,2.2,12.3,9.4,,1750.1,,1152.5,,-0.6
2.1,12,388.1,0.7,-47.7,,AKASH AGRO INDS. LTD.,,,,9457,20150331,15.5,0.2,20.0,8.7,0.3,3207.0,,430.1,,1.1
0.1,12,815.35,0.4,,,AKASH INFRA-PROJECTS LTD.,,,,9505,20150331,-3.9,0.3,42.2,-4.7,,857.8,,804.1,,0.1
,12,32.9,,0.2,,AKASHDEEP METAL INDS. LTD.,0.0,,,9553,20150331,,,0.6,,,,,33.5,,
,12,26709.5,,-728.7,,CORE EDUCATION & TECHNOLOGIES LTD.,16.4,2.3,,9681,20150331,544.2,3.1,-10746.7,,,3437.6,2.2,21432.9,,
34.2,12,37974.4,-30.7,3414.9,,HUBTOWN LTD.,0.1,,35.9,9780,20150331,-23.5,0.5,107.5,,,2050.8,,37241.1,,6.6
,12,5700.45,3.6,70.9,,AKSH OPTIFIBRE LTD.,4.5,,,9793,20150331,155.4,1.7,321.1,128.2,,3723.2,16.9,6039.9,,0.5
,12,387.05,,-44.3,,ALACRITY SECURITIES LTD.,-4.8,,,10135,20150331,-5.5,-1.2,-11.5,,,,0.5,416.3,,
0.1,12,18.55,,0.2,,SAI JEEVADHARA FINANCE LTD.,,,,10158,20150331,,,-0.1,,,,,18.6,,
,12,6.8,,0.3,,ALAN SCOTT INDS. LTD.,,,0.0,10220,20150331,,,0.2,,,1.8,,6.6,,0.0
,12,2279.0,44.3,278.0,,ALBERT DAVID LTD.,0.9,,0.7,10376,20150331,55.0,7.3,137.0,0.1,32.6,3343.4,,2352.3,0.1,2.3
0.5,12,1720.35,-14.8,111.7,,RHODIA SPECIALTY CHEMICALS INDIA LTD.,5.9,,,10397,20150331,-68.8,0.5,-205.0,-61.1,,3059.7,0.7,1548.5,,
38.9,12,4345.85,19.0,66.2,,SHRENO LTD.,,,0.9,10564,20150331,-63.8,0.6,50.8,-83.4,0.0,1306.8,,4399.6,,
,12,3780.9,-0.6,219.7,,ALEMBIC LTD.,,,1.7,10566,20150331,-528.0,-0.4,241.5,-526.9,26.6,1494.4,,3605.0,,-0.1
,12,288.55,,6.5,,ALFA ICA (INDIA) LTD.,0.0,0.2,,10674,20150331,17.2,0.3,10.6,8.5,,604.2,,284.1,,8.2
,12,13714.2,112.8,1378.1,,ALFA LAVAL (INDIA) LTD.,,,23.1,10678,20151231,256.9,18.4,1515.3,13.2,,11124.6,,14208.4,,
0.2,12,334.3,,19.9,,ALFA TRANSFORMERS LTD.,0.0,1.9,0.1,10714,20150331,-6.5,0.0,-10.0,-8.4,,292.4,,341.4,,0.0
0.1,12,190.9,,,,ALFAVISION OVERSEAS (INDIA) LTD.,,,,10735,20150331,,,2.7,,,481.1,,227.5,,
,12,311.6,,13.3,,ALFRED HERBERT (INDIA) LTD.,,,,10752,20150331,,,7.9,,,10.3,,320.5,,
,12,119.85,,-0.1,,ALKA DIAMOND INDS. LTD.,,,,10853,20150331,,,0.0,,,,,119.9,,
,12,51.5,,,,ALKA SECURITIES LTD.,,,,10866,20150331,,,-5.9,,,,,53.3,,
,12,972.1,2.2,140.3,,ALKALI METALS LTD.,-5.0,,0.0,10872,20150331,-38.4,-35.7,2.8,0.7,4.9,718.9,,945.9,,-0.6
,12,45819.2,-606.8,2415.5,,ALKEM LABORATORIES LTD.,,,,10884,20150331,865.3,68.2,3676.9,222.0,1513.1,32102.5,37.4,48985.9,,15.4
,12,4273.8,24.7,606.6,,ALKYL AMINES CHEMICALS LTD.,,3.5,0.6,10903,20150331,70.3,3.6,454.2,35.5,42.3,5162.9,,4270.0,,3.0
274.3,12,2231609.95,46.5,-69434.6,,ALLAHABAD BANK,,,1.7,11019,20150331,1940.3,1893.8,6209.0,,,,,2275888.8,,
,12,20015.0,8.3,1961.3,,ALLCARGO LOGISTICS LTD.,7.3,,1.1,11063,20150331,32.8,6.0,974.9,29.4,,11309.4,6.6,18930.7,,-24.8
,12,650.45,,39.0,,AVONMORE CAPITAL & MGMT. SERVICES LTD.,,,,11259,20150331,,,34.2,,,,,697.9,,
,12,1737.45,-3.3,63.1,,ALMONDZ GLOBAL SECURITIES LTD.,0.3,,1.6,11262,20150331,2.1,1.0,48.5,,,192.0,0.2,1821.9,,3.9
,12,518.85,,,,RAP MEDIA LTD.,,,,11284,20150331,,,-2.3,,,18.3,,518.0,,
11.9,12,8378.9,,-6.1,,ALLIED DIGITAL SERVICES LTD.,,,,11303,20150331,,,4.2,,,1304.1,,8392.2,,
,12,1307.2,,-14.2,,ALLSEC TECHNOLOGIES LTD.,-12.2,,,11443,20150331,-27.6,0.7,-17.4,-3.2,,974.7,14.2,1276.1,,-1.2
,12,548.8,,1.5,,ALLSOFT CORPORATION LTD.,-14.5,,,11445,20150331,-29.7,-14.8,-2.5,,,29.5,,535.4,,-0.4
0.1,12,21.75,,16.4,,ALNA TRADING & EXPORTS LTD.,,,,11554,20150331,-0.1,-0.1,0.3,,,10.3,,17.0,,
